State,District,Market,Commodity,Variety,Grade,observations,start_date,end_date,calendar_span_days,median_gap_days,max_gap_days,consecutive_day_pairs,continuity_pct
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Namakkal,Kumarapalayam(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Namakkal,Rasipuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Namakkal,Tiruchengode APMC,Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,301,2025-11-08,2026-09-04,301,1.0,1.0,300,100.0
Tamil Nadu,Cuddalore,Vadalur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,214,2026-02-03,2026-09-04,214,1.0,1.0,213,100.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Cabbage,Cabbage,Local,207,2026-02-10,2026-09-04,207,1.0,1.0,206,100.0
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Erode,Thalavadi(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Krishnagiri,Hosur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Salem,Athur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thiruchirappalli,Thuraiyur APMC,Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Villupuram,Gingee(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Villupuram,Tindivanam APMC,Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,300,2025-11-08,2026-09-04,301,1.0,2.0,298,99.66555183946488
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,3.0,297,99.66442953020132
West Bengal,Darjeeling,Darjeeling APMC,Cabbage,Other,FAQ,299,2025-11-08,2026-09-04,301,1.0,3.0,297,99.66442953020132
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Cabbage,Cabbage,Local,206,2026-02-10,2026-09-04,207,1.0,2.0,204,99.51219512195122
Tamil Nadu,Coimbatore,Udumalpet APMC,Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
Tamil Nadu,Karur,Karur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Cabbage,Cabbage,Local,299,2025-11-08,2026-09-04,301,1.0,2.0,296,99.32885906040268
