Date,Today's_Day_Price,Actual_Next_Day_Price,Naive_Prediction,Absolute_Error
2026-07-21,3850,3850.0,3850,0.0
2026-07-22,3850,3850.0,3850,0.0
2026-07-23,3850,3850.0,3850,0.0
2026-07-24,3850,3850.0,3850,0.0
2026-07-25,3850,3850.0,3850,0.0
2026-07-26,3850,3850.0,3850,0.0
2026-07-27,3850,3850.0,3850,0.0
2026-07-28,3850,3850.0,3850,0.0
2026-07-29,3850,3850.0,3850,0.0
2026-07-30,3850,3850.0,3850,0.0
2026-07-31,3850,3850.0,3850,0.0
2026-08-01,3850,3850.0,3850,0.0
2026-08-02,3850,3850.0,3850,0.0
2026-08-03,3850,3250.0,3850,600.0
2026-08-04,3250,3250.0,3250,0.0
2026-08-05,3250,3250.0,3250,0.0
2026-08-06,3250,3250.0,3250,0.0
2026-08-07,3250,3250.0,3250,0.0
2026-08-08,3250,3250.0,3250,0.0
2026-08-09,3250,3250.0,3250,0.0
2026-08-10,3250,3250.0,3250,0.0
2026-08-11,3250,3250.0,3250,0.0
2026-08-12,3250,3250.0,3250,0.0
2026-08-13,3250,3250.0,3250,0.0
2026-08-14,3250,3250.0,3250,0.0
2026-08-15,3250,3750.0,3250,500.0
2026-08-16,3750,3250.0,3750,500.0
2026-08-17,3250,3250.0,3250,0.0
2026-08-18,3250,3250.0,3250,0.0
2026-08-19,3250,3250.0,3250,0.0
2026-08-20,3250,3850.0,3250,600.0
2026-08-21,3850,3850.0,3850,0.0
2026-08-22,3850,3750.0,3850,100.0
2026-08-23,3750,3750.0,3750,0.0
2026-08-24,3750,3750.0,3750,0.0
2026-08-25,3750,3750.0,3750,0.0
2026-08-26,3750,3750.0,3750,0.0
2026-08-27,3750,3750.0,3750,0.0
2026-08-28,3750,3750.0,3750,0.0
2026-08-29,3750,3750.0,3750,0.0
2026-08-30,3750,3750.0,3750,0.0
2026-08-31,3750,3750.0,3750,0.0
2026-09-01,3750,3750.0,3750,0.0
2026-09-02,3750,3250.0,3750,500.0
2026-09-03,3250,3250.0,3250,0.0
