Date,Today's_Price,Actual_Next_Day_Price,Random_Forest_Prediction,Absolute_Error
2026-07-25,3850,3850.0,3926.5392857142856,76.5392857142856
2026-07-26,3850,3850.0,3930.567063492064,80.56706349206388
2026-07-27,3850,3850.0,3908.844841269841,58.8448412698408
2026-07-28,3850,3850.0,3912.771825396825,62.77182539682508
2026-07-29,3850,3850.0,3915.844841269841,65.8448412698408
2026-07-30,3850,3850.0,3915.844841269841,65.8448412698408
2026-07-31,3850,3850.0,3917.5115079365073,67.51150793650731
2026-08-01,3850,3850.0,3902.817063492064,52.81706349206388
2026-08-02,3850,3850.0,3906.8448412698413,56.844841269841254
2026-08-03,3850,3250.0,3887.455952380952,637.4559523809521
2026-08-04,3250,3250.0,3243.080555555556,6.919444444443798
2026-08-05,3250,3250.0,3192.6793650793647,57.32063492063526
2026-08-06,3250,3250.0,3100.022222222223,149.9777777777772
2026-08-07,3250,3250.0,3049.3333333333335,200.66666666666652
2026-08-08,3250,3250.0,3041.3333333333335,208.66666666666652
2026-08-09,3250,3250.0,3042.444444444445,207.5555555555552
2026-08-10,3250,3250.0,2954.9206349206343,295.07936507936574
2026-08-11,3250,3250.0,3018.333333333333,231.66666666666697
2026-08-12,3250,3250.0,3012.555555555555,237.4444444444448
2026-08-13,3250,3250.0,3051.6111111111118,198.38888888888823
2026-08-14,3250,3250.0,3054.944444444445,195.0555555555552
2026-08-15,3250,3750.0,3017.2222222222226,732.7777777777774
2026-08-16,3750,3250.0,3799.447619047619,549.4476190476189
2026-08-17,3250,3250.0,2961.721825396826,288.2781746031742
2026-08-18,3250,3250.0,3049.3888888888896,200.6111111111104
2026-08-19,3250,3250.0,3071.333333333334,178.66666666666606
2026-08-20,3250,3850.0,3049.722222222223,800.2777777777769
2026-08-21,3850,3850.0,3782.674603174603,67.32539682539709
2026-08-22,3850,3750.0,3823.660714285714,73.66071428571422
2026-08-23,3750,3750.0,3844.771825396826,94.77182539682599
2026-08-24,3750,3750.0,3839.0392857142856,89.0392857142856
2026-08-25,3750,3750.0,3851.955952380952,101.95595238095211
2026-08-26,3750,3750.0,3855.2892857142856,105.2892857142856
2026-08-27,3750,3750.0,3866.4003968253965,116.40039682539646
2026-08-28,3750,3750.0,3914.438492063492,164.43849206349205
2026-08-29,3750,3750.0,3922.3551587301586,172.35515873015856
2026-08-30,3750,3750.0,3926.382936507936,176.38293650793594
2026-08-31,3750,3750.0,3908.844841269841,158.8448412698408
2026-09-01,3750,3750.0,3892.122619047619,142.12261904761908
2026-09-02,3750,3250.0,3892.122619047619,642.1226190476191
2026-09-03,3250,3250.0,3243.080555555556,6.919444444443798
