ID,State,District,Market,Commodity,Variety,Date,Min_Price,Max_Price,Modal_Price
1,Karnataka,Bangalore,Yeshwanthpur,Wheat,Lokwan,2026-02-27,2340,2744,2686
2,Karnataka,Bangalore,Bangalore,Potato,Jyoti,2026-01-24,1614,2032,1872
3,Karnataka,Bangalore,Yeshwanthpur,Cauliflower,Local,2026-02-26,3188,4090,3472
4,West Bengal,Hooghly,Chinsurah,Maize,Local,2026-02-09,1845,2635,2626
5,Maharashtra,Nashik,Lasalgaon,Brinjal,Local,2026-04-02,3209,3861,3827
6,Maharashtra,Nashik,Nashik,Cauliflower,Local,2026-04-07,1831,2413,2131
7,Karnataka,Mysore,Mysore,Tomato,Local,2026-06-19,2435,3031,2516
8,West Bengal,North 24 Parganas,Habra,Wheat,Common,2026-06-12,2918,3590,3084
9,Maharashtra,Pune,Pune,Wheat,Lokwan,2026-06-05,2813,3287,3086
10,Karnataka,Bangalore,Yeshwanthpur,Cabbage,Local,2026-03-11,2075,2945,2299
11,Karnataka,Mysore,Mysore,Rice,Common,2026-03-22,3334,3908,3401
12,West Bengal,Nadia,Krishnanagar,Cabbage,Local,2026-06-14,1953,2325,2088
13,West Bengal,Hooghly,Chinsurah,Green Chilli,Local,2026-05-30,4115,5155,4564
14,West Bengal,Burdwan,Burdwan,Potato,Jyoti,2026-02-09,2052,2432,2400
15,Maharashtra,Nashik,Nashik,Brinjal,Round,2026-05-16,2159,2469,2217
16,Karnataka,Mysore,Nanjangud,Tomato,Hybrid,2026-04-22,2065,2829,2068
17,Karnataka,Mysore,Mysore,Cauliflower,Local,2026-06-10,2545,3499,3064
18,Karnataka,Bangalore,Yeshwanthpur,Maize,Yellow,2026-05-19,2736,3036,2901
19,Maharashtra,Nashik,Lasalgaon,Maize,Local,2026-03-03,1707,2129,1997
20,West Bengal,North 24 Parganas,Habra,Tomato,Local,2026-02-02,3427,4065,3698
21,Karnataka,Mysore,Mysore,Cauliflower,Local,2026-03-21,2941,3927,3606
22,Maharashtra,Pune,Baramati,Tomato,Local,2026-02-27,1826,2298,1836
23,Karnataka,Bangalore,Yeshwanthpur,Potato,Jyoti,2026-06-11,1452,1868,1486
24,West Bengal,Nadia,Krishnanagar,Cauliflower,Local,2026-03-13,3419,4157,3971
25,West Bengal,Burdwan,Burdwan,Cabbage,Local,2026-02-18,1219,1567,1556
26,Maharashtra,Pune,Baramati,Brinjal,Round,2026-01-14,2695,3663,3356
27,West Bengal,North 24 Parganas,Habra,Maize,Yellow,2026-03-05,1994,2390,2268
28,Maharashtra,Nashik,Nashik,Onion,Red,2026-04-29,3035,3411,3261
29,Karnataka,Bangalore,Yeshwanthpur,Cauliflower,Local,2026-01-24,2533,3003,2741
