State,District,Market,Commodity_Group,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Unit,Arrival_Quantity,Arrival_Unit,Date,current_price,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,price_change_1,price_change_7,price_change_30,target_1d
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-11-08,2750,5,8,11,4,312,45,,,,,,,,,,,,,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-11-09,2750,6,9,11,4,313,45,2750.0,,,,,2750.0,,2750.0,,2750.0,,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2025-11-10,2750,0,10,11,4,314,46,2750.0,,,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2025-11-11,2750,1,11,11,4,315,46,2750.0,2750.0,,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-11-12,2750,2,12,11,4,316,46,2750.0,2750.0,,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-11-13,2750,3,13,11,4,317,46,2750.0,2750.0,,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.23,Metric Tonnes,2025-11-14,2750,4,14,11,4,318,46,2750.0,2750.0,,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2025-11-15,2750,5,15,11,4,319,46,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.28,Metric Tonnes,2025-11-16,2750,6,16,11,4,320,46,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2025-11-17,2750,0,17,11,4,321,47,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2025-11-18,2750,1,18,11,4,322,47,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2025-11-19,2750,2,19,11,4,323,47,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2025-11-20,2750,3,20,11,4,324,47,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2025-11-21,2750,4,21,11,4,325,47,2750.0,2750.0,2750.0,,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2025-11-22,2750,5,22,11,4,326,47,2750.0,2750.0,2750.0,2750.0,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.23,Metric Tonnes,2025-11-23,2750,6,23,11,4,327,47,2750.0,2750.0,2750.0,2750.0,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2025-11-24,2750,0,24,11,4,328,48,2750.0,2750.0,2750.0,2750.0,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2025-11-25,2750,1,25,11,4,329,48,2750.0,2750.0,2750.0,2750.0,,2750.0,0.0,2750.0,0.0,2750.0,0.0,0.0,0.0,,2750.0
