State,District,Market,Commodity,Variety,Grade,observations,start_date,end_date,calendar_span_days,median_gap_days,max_gap_days,consecutive_day_pairs,continuity_pct
Andaman and Nicobar,Nicobar,Perka Vegetable Market,Onion,Other,FAQ,2,2026-08-24,2026-09-02,10,9.0,9.0,0,0.0
Andaman and Nicobar,Nicobar,Perka Vegetable Market,Pumpkin,Other,FAQ,4,2026-07-06,2026-09-02,59,8.0,49.0,1,33.33333333333333
Andaman and Nicobar,North and Middle Andaman,Diglipur Vegetable Market (Subhashgram),Cabbage,Other,FAQ,44,2026-03-11,2026-05-09,60,1.0,5.0,31,72.09302325581395
Andaman and Nicobar,North and Middle Andaman,Diglipur Vegetable Market (Subhashgram),Pumpkin,Other,FAQ,144,2026-03-09,2026-09-04,180,1.0,3.0,110,76.92307692307693
Andaman and Nicobar,North and Middle Andaman,Diglipur Vegetable Market (Subhashgram),Tomato,Other,FAQ,42,2026-03-19,2026-05-13,56,1.0,4.0,29,70.73170731707317
Andaman and Nicobar,North and Middle Andaman,Mayabander Vegetable Market,Pumpkin,Other,FAQ,64,2026-06-08,2026-09-03,88,1.0,3.0,41,65.07936507936508
Andaman and Nicobar,South Andaman,Bathubasti Vegetable Market,Cabbage,Other,FAQ,2,2026-03-17,2026-03-18,2,1.0,1.0,1,100.0
Andaman and Nicobar,South Andaman,Bathubasti Vegetable Market,Pumpkin,Other,FAQ,1,2026-03-18,2026-03-18,1,,,0,0.0
Andaman and Nicobar,South Andaman,Bathubasti Vegetable Market,Pumpkin,Pumpkin,FAQ,17,2026-03-17,2026-08-24,161,3.0,62.0,6,37.5
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu,Tomato,Local,FAQ,93,2026-06-01,2026-09-03,95,1.0,2.0,90,97.82608695652173
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Tomato,Hybrid,FAQ,91,2026-06-01,2026-09-04,96,1.0,2.0,85,94.44444444444444
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram,Tomato,Hybrid,Grade A,3,2026-06-18,2026-06-25,8,3.5,5.0,0,0.0
Andhra Pradesh,Annamayya,Kalikiri APMC,Tomato,Hybrid,FAQ,276,2025-11-08,2026-09-03,300,1.0,4.0,256,93.0909090909091
Andhra Pradesh,Annamayya,Kalikiri APMC,Tomato,Hybrid,Grade A,1,2026-04-12,2026-04-12,1,,,0,0.0
Andhra Pradesh,Annamayya,Kalikiri APMC,Tomato,Hybrid,Local,1,2026-06-19,2026-06-19,1,,,0,0.0
Andhra Pradesh,Annamayya,Kalikiri APMC,Tomato,Local,FAQ,1,2026-06-18,2026-06-18,1,,,0,0.0
Andhra Pradesh,Annamayya,Madanapalli APMC,Tomato,Local,FAQ,292,2025-11-08,2026-09-04,301,1.0,3.0,283,97.2508591065292
Andhra Pradesh,Annamayya,Madanapalli APMC,Tomato,Tomato,FAQ,1,2025-11-20,2025-11-20,1,,,0,0.0
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Tomato,Local,FAQ,93,2026-06-01,2026-09-04,96,1.0,2.0,89,96.73913043478261
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Tomato,Tomato,FAQ,2,2026-06-25,2026-07-14,20,19.0,19.0,0,0.0
Andhra Pradesh,Annamayya,Punganur APMC,Tomato,Deshi,FAQ,1,2026-06-10,2026-06-10,1,,,0,0.0
Andhra Pradesh,Annamayya,Punganur APMC,Tomato,Hybrid,FAQ,275,2025-11-08,2026-09-04,301,1.0,4.0,252,91.97080291970804
Andhra Pradesh,Annamayya,Punganur APMC,Tomato,Tomato,FAQ,3,2025-11-12,2026-09-02,295,147.0,162.0,0,0.0
Andhra Pradesh,Annamayya,Somala APMC,Tomato,Tomato,FAQ,84,2026-06-11,2026-09-04,86,1.0,3.0,82,98.79518072289156
Andhra Pradesh,Annamayya,Valmikipuram APMC,Tomato,Hybrid,FAQ,139,2025-11-11,2026-09-04,298,1.0,150.0,130,94.20289855072464
Andhra Pradesh,Annamayya,Valmikipuram APMC,Tomato,Hybrid,Grade A,1,2026-06-23,2026-06-23,1,,,0,0.0
Andhra Pradesh,Annamayya,Valmikipuram APMC,Tomato,Local,FAQ,135,2025-11-12,2026-05-10,180,1.0,31.0,122,91.04477611940298
Andhra Pradesh,Chittor,Kuppam APMC,Tomato,Local,Grade C,1,2026-07-25,2026-07-25,1,,,0,0.0
Andhra Pradesh,Chittor,Kuppam APMC,Tomato,Other,Grade C,2,2026-08-27,2026-08-28,2,1.0,1.0,1,100.0
Andhra Pradesh,Chittor,Kuppam APMC,Tomato,Tomato,Grade C,23,2026-07-27,2026-09-02,38,1.0,7.0,16,72.72727272727273
Andhra Pradesh,Chittor,Palamaner APMC,Cabbage,Cabbage,FAQ,223,2025-11-17,2026-09-03,291,1.0,23.0,190,85.58558558558559
Andhra Pradesh,Chittor,Palamaner APMC,Potato,Potato,FAQ,228,2025-11-11,2026-09-03,297,1.0,13.0,189,83.25991189427313
Andhra Pradesh,Chittor,Palamaner APMC,Potato,Red Nanital,FAQ,1,2026-08-31,2026-08-31,1,,,0,0.0
Andhra Pradesh,Chittor,Palamaner APMC,Tomato,Local,FAQ,4,2025-11-10,2026-03-05,116,48.0,55.0,0,0.0
Andhra Pradesh,Chittor,Palamaner APMC,Tomato,Other,FAQ,1,2026-03-28,2026-03-28,1,,,0,0.0
Andhra Pradesh,Chittor,Palamaner APMC,Tomato,Tomato,FAQ,242,2025-11-11,2026-09-03,297,1.0,14.0,213,88.38174273858921
Andhra Pradesh,Chittor,V. Kota Sub-yard of AMC Palamaneru,Tomato,Other,FAQ,95,2026-05-30,2026-09-03,97,1.0,2.0,92,97.87234042553192
Andhra Pradesh,Kurnool,Kurnool APMC,Onion,Local,FAQ,81,2025-11-10,2026-09-03,298,2.0,51.0,32,40.0
Andhra Pradesh,Kurnool,Kurnool APMC,Onion,Local,Local,62,2025-11-11,2026-08-29,292,2.0,50.0,21,34.42622950819672
Andhra Pradesh,Kurnool,Kurnool APMC,Onion,Local,Non-FAQ,3,2026-08-01,2026-08-08,8,3.5,4.0,0,0.0
Andhra Pradesh,Kurnool,Kurnool APMC,Onion,Onion,FAQ,1,2026-01-08,2026-01-08,1,,,0,0.0
Andhra Pradesh,Kurnool,Kurnool APMC,Onion,Onion,Local,2,2026-01-19,2026-01-21,3,2.0,2.0,0,0.0
Andhra Pradesh,Kurnool,Pattikonda APMC,Tomato,Local,FAQ,94,2025-11-10,2026-09-03,298,1.0,166.0,73,78.49462365591397
Andhra Pradesh,Kurnool,Pattikonda APMC,Tomato,Other,FAQ,30,2025-11-10,2026-08-31,295,1.0,215.0,16,55.172413793103445
Andhra Pradesh,YSR Kadapa,Yerraguntla APMC,Onion,Local,FAQ,41,2026-07-23,2026-09-03,43,1.0,2.0,38,95.0
Arunachal Pradesh,East Siang,Pasighat APMC,Tomato,Local,Local,1,2026-06-05,2026-06-05,1,,,0,0.0
Arunachal Pradesh,Lower Subansiri,Ziro APMC,Cabbage,Other,Local,31,2026-05-07,2026-07-30,85,1.0,15.0,16,53.333333333333336
Arunachal Pradesh,Lower Subansiri,Ziro APMC,Potato,Jyoti,Local,21,2026-05-15,2026-06-23,40,1.5,5.0,10,50.0
Assam,Barpeta,Baharihat APMC,Cabbage,Cabbage,FAQ,2,2025-12-18,2026-01-08,22,21.0,21.0,0,0.0
Assam,Barpeta,Baharihat APMC,Onion,Onion,FAQ,10,2025-12-18,2026-08-20,246,7.0,182.0,0,0.0
Assam,Barpeta,Baharihat APMC,Potato,Local,FAQ,1,2026-07-02,2026-07-02,1,,,0,0.0
Assam,Barpeta,Baharihat APMC,Potato,Other,FAQ,3,2025-12-18,2026-07-09,204,101.5,182.0,0,0.0
Assam,Barpeta,Baharihat APMC,Potato,Potato,FAQ,7,2025-12-25,2026-08-20,239,7.0,196.0,0,0.0
Assam,Barpeta,Baharihat APMC,Pumpkin,Other,FAQ,6,2026-01-08,2026-08-13,218,7.0,175.0,0,0.0
Assam,Barpeta,Baharihat APMC,Tomato,Other,FAQ,6,2025-12-18,2026-08-20,246,7.0,217.0,0,0.0
Assam,Barpeta,Barpeta Road APMC,Cabbage,Cabbage,FAQ,43,2025-12-17,2026-06-08,174,4.0,10.0,1,2.380952380952381
Assam,Barpeta,Barpeta Road APMC,Onion,Local,FAQ,2,2026-01-22,2026-02-12,22,21.0,21.0,0,0.0
Assam,Barpeta,Barpeta Road APMC,Onion,Other,FAQ,39,2025-12-18,2026-06-08,173,4.0,11.0,0,0.0
Assam,Barpeta,Barpeta Road APMC,Potato,Other,FAQ,41,2025-12-18,2026-06-08,173,4.0,10.0,0,0.0
Assam,Barpeta,Barpeta Road APMC,Pumpkin,Pumpkin,FAQ,43,2025-12-17,2026-06-08,174,4.0,10.0,1,2.380952380952381
Assam,Barpeta,Barpeta Road APMC,Tomato,Tomato,FAQ,43,2025-12-17,2026-06-08,174,4.0,10.0,1,2.380952380952381
Assam,Bongaigaon,Bijni APMC,Cabbage,Cabbage,Local,1,2025-12-18,2025-12-18,1,,,0,0.0
Assam,Cachar,Fatakbazar APMC,Cabbage,Cabbage,FAQ,38,2026-06-24,2026-08-31,69,1.0,8.0,23,62.16216216216216
Assam,Cachar,Fatakbazar APMC,Pumpkin,Pumpkin,FAQ,38,2026-06-24,2026-08-31,69,1.0,8.0,23,62.16216216216216
Assam,Cachar,Fatakbazar APMC,Tomato,Tomato,FAQ,34,2026-06-24,2026-08-31,69,1.0,8.0,18,54.54545454545454
Assam,Darrang,Balugaon APMC,Cabbage,Cabbage,Local,128,2025-12-20,2026-09-04,259,1.0,83.0,107,84.25196850393701
Assam,Darrang,Balugaon APMC,Pumpkin,Pumpkin,Local,80,2025-12-20,2026-09-04,259,1.0,160.0,64,81.0126582278481
Assam,Darrang,Balugaon APMC,Tomato,Tomato,Local,153,2025-12-20,2026-09-04,259,1.0,84.0,135,88.81578947368422
Assam,Darrang,Besimari APMC,Cabbage,Cabbage,Local,124,2025-12-22,2026-09-04,257,1.0,85.0,106,86.1788617886179
Assam,Darrang,Besimari APMC,Pumpkin,Pumpkin,Local,78,2025-12-23,2026-09-04,256,1.0,161.0,64,83.11688311688312
Assam,Darrang,Besimari APMC,Tomato,Tomato,Local,151,2025-12-22,2026-09-04,257,1.0,85.0,133,88.66666666666667
Assam,Darrang,Kharupetia APMC,Cabbage,Cabbage,Local,68,2025-12-20,2026-03-24,95,1.0,22.0,60,89.55223880597015
Assam,Darrang,Kharupetia APMC,Potato,Local,Local,13,2025-12-20,2026-01-02,14,1.0,2.0,11,91.66666666666666
Assam,Darrang,Kharupetia APMC,Potato,Potato,FAQ,1,2026-06-14,2026-06-14,1,,,0,0.0
Assam,Darrang,Kharupetia APMC,Potato,Potato,Local,74,2025-12-28,2026-03-24,87,1.0,6.0,66,90.41095890410958
Assam,Darrang,Kharupetia APMC,Pumpkin,Pumpkin,Local,16,2025-12-21,2026-01-07,18,1.0,2.0,13,86.66666666666667
Assam,Darrang,Kharupetia APMC,Tomato,Local,Local,12,2025-12-21,2026-03-15,85,1.0,72.0,8,72.72727272727273
Assam,Darrang,Kharupetia APMC,Tomato,Tomato,Local,76,2025-12-20,2026-03-24,95,1.0,6.0,65,86.66666666666667
Assam,Dhemaji,Silapathar APMC,Cabbage,Cabbage,Local,71,2025-12-15,2026-03-10,86,1.0,6.0,62,88.57142857142857
Assam,Dhemaji,Silapathar APMC,Onion,Local,Local,1,2025-12-16,2025-12-16,1,,,0,0.0
Assam,Dhemaji,Silapathar APMC,Onion,Onion,Local,72,2025-12-15,2026-03-10,86,1.0,6.0,63,88.73239436619718
