Split,Model,MAE,RMSE,MAPE,Directional_Accuracy,Observations
TRAIN,Naive,108.04769102654689,249.6802817773326,5.7942856822565965,53.755677803573235,396280
TRAIN,MA3,123.07967258106768,243.81453944608015,5.966235109727078,57.132969481114046,277402
TRAIN,MA7,151.2528007886562,278.788934418165,6.4324483982418466,47.39772910964822,179401
TRAIN,Seasonal_Naive_7D,233.15668814977315,433.5056950948721,11.29737833950173,50.33655352836179,293564
VALIDATION,Naive,124.3280441238863,278.88942517860573,7.050195339678478,54.72210436996181,94280
VALIDATION,MA3,141.86872163125852,269.90587436240054,7.81766675177034,56.78913024045767,67122
VALIDATION,MA7,178.43820845117446,308.9804484323135,9.59304115743539,45.87312644659671,44501
VALIDATION,Seasonal_Naive_7D,275.78299456441107,475.09490551371636,13.359875613235642,49.10103721287816,74141
TEST,Naive,126.76601944725621,284.18999652004237,7.03718004928683,54.339846425978756,97803
TEST,MA3,138.70146475681798,267.4123020129989,5.8694229562448825,57.9795210145238,70023
TEST,MA7,163.29944435325515,294.11871545561235,6.104663991719388,49.19571045576407,46998
TEST,Seasonal_Naive_7D,251.2488446133306,442.62793420437237,12.038530791431766,51.60341994454144,77896
